Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,env_biome,env_feature,env_material
SRR2467286,AMPLICON,372,3969978,PRJNA293971,SAMN04012593,Metagenome or environmental,1851307,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165638,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,9WWB,SRP062889,,,
SRR2467287,AMPLICON,370,4299378,PRJNA293971,SAMN04012594,Metagenome or environmental,2010445,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165639,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,9BKB,SRP062889,,,
SRR2467290,AMPLICON,370,3902972,PRJNA293971,SAMN04012595,Metagenome or environmental,1842913,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165640,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,13B,SRP062889,,,
SRR2467291,AMPLICON,371,3965905,PRJNA293971,SAMN04012596,Metagenome or environmental,1867582,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165641,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,13WWB,SRP062889,,,
SRR2467293,AMPLICON,370,4465264,PRJNA293971,SAMN04012598,Metagenome or environmental,2083246,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165643,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,14B,SRP062889,,,
SRR2467294,AMPLICON,371,2683081,PRJNA293971,SAMN04012597,Metagenome or environmental,1265014,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165642,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,13BKB,SRP062889,,,
SRR2467295,AMPLICON,370,4290709,PRJNA293971,SAMN04012600,Metagenome or environmental,1974660,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165645,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,14BKB,SRP062889,,,
SRR2467296,AMPLICON,370,4281642,PRJNA293971,SAMN04012599,Metagenome or environmental,2007765,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165644,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,14WWB,SRP062889,,,
SRR2467297,AMPLICON,371,4504433,PRJNA293971,SAMN04012601,Metagenome or environmental,2115924,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165646,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,15B,SRP062889,,,
SRR2467298,AMPLICON,370,4034831,PRJNA293971,SAMN04012602,Metagenome or environmental,1909687,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165647,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,15WWB,SRP062889,,,
SRR2467299,AMPLICON,370,4277937,PRJNA293971,SAMN04012603,Metagenome or environmental,2035908,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165648,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,15BKB,SRP062889,,,
SRR2467300,AMPLICON,370,3532517,PRJNA293971,SAMN04012604,Metagenome or environmental,1677214,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165649,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,18B,SRP062889,,,
SRR2467301,AMPLICON,366,4560907,PRJNA293971,SAMN04012606,Metagenome or environmental,2134219,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165651,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,18BKB,SRP062889,,,
SRR2467302,AMPLICON,365,4534788,PRJNA293971,SAMN04012605,Metagenome or environmental,2111485,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165650,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,18WWB,SRP062889,,,
SRR2467303,AMPLICON,371,3335504,PRJNA293971,SAMN04012607,Metagenome or environmental,1553099,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165652,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,19B,SRP062889,,,
SRR2467304,AMPLICON,370,4501037,PRJNA293971,SAMN04012608,Metagenome or environmental,2083450,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165653,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,19WWB,SRP062889,,,
SRR2467305,AMPLICON,370,4239276,PRJNA293971,SAMN04012609,Metagenome or environmental,1948987,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165654,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,19BKB,SRP062889,,,
SRR2467306,AMPLICON,369,4763078,PRJNA293971,SAMN04012610,Metagenome or environmental,2211549,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165655,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,21B,SRP062889,,,
SRR2467307,AMPLICON,368,4590783,PRJNA293971,SAMN04012611,Metagenome or environmental,2146512,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165656,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,21WWB,SRP062889,,,
SRR2467308,AMPLICON,369,3182264,PRJNA293971,SAMN04012612,Metagenome or environmental,1525220,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165657,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,21BKB,SRP062889,,,
SRR2467309,AMPLICON,372,4344968,PRJNA293971,SAMN04012613,Metagenome or environmental,2002027,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165658,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,22B,SRP062889,,,
SRR2467310,AMPLICON,376,4348286,PRJNA293971,SAMN04012614,Metagenome or environmental,2044496,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165659,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,22WWB,SRP062889,,,
SRR2467311,AMPLICON,371,4203546,PRJNA293971,SAMN04012615,Metagenome or environmental,1944931,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165660,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,22BKB,SRP062889,,,
SRR2467312,AMPLICON,370,4632255,PRJNA293971,SAMN04012616,Metagenome or environmental,2162999,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165661,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,23B,SRP062889,,,
SRR2467313,AMPLICON,372,4754094,PRJNA293971,SAMN04012626,Metagenome or environmental,2205986,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165662,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,23WWB,SRP062889,,,
SRR2467314,AMPLICON,369,5223068,PRJNA293971,SAMN04012654,Metagenome or environmental,2431920,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165664,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,23BKB,SRP062889,,,
SRR2467315,AMPLICON,369,6139097,PRJNA293971,SAMN04012655,Metagenome or environmental,2835583,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165665,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,25B,SRP062889,,,
SRR2467316,AMPLICON,369,5593457,PRJNA293971,SAMN04012656,Metagenome or environmental,2609040,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165666,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:10:00Z,1,25WWB,SRP062889,,,
SRR2467317,AMPLICON,370,5531174,PRJNA293971,SAMN04012657,Metagenome or environmental,2553380,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165667,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,25BKB,SRP062889,,,
SRR2467318,AMPLICON,372,5002357,PRJNA293971,SAMN04012658,Metagenome or environmental,2328159,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165668,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,26B,SRP062889,,,
SRR2467319,AMPLICON,371,5372552,PRJNA293971,SAMN04012659,Metagenome or environmental,2496610,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165669,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,26WWB,SRP062889,,,
SRR2467320,AMPLICON,371,4678582,PRJNA293971,SAMN04012660,Metagenome or environmental,2182473,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165670,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,26BKB,SRP062889,,,
SRR2467321,AMPLICON,370,5760691,PRJNA293971,SAMN04012662,Metagenome or environmental,2679760,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165672,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,27WWB,SRP062889,,,
SRR2467322,AMPLICON,370,6057403,PRJNA293971,SAMN04012661,Metagenome or environmental,2799696,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165671,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,27B,SRP062889,,,
SRR2467323,AMPLICON,370,4794253,PRJNA293971,SAMN04012663,Metagenome or environmental,2241721,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165673,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,27BKB,SRP062889,,,
SRR2467324,AMPLICON,369,5254651,PRJNA293971,SAMN04012664,Metagenome or environmental,2430975,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165674,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,30B,SRP062889,,,
SRR2467325,AMPLICON,368,5960951,PRJNA293971,SAMN04012665,Metagenome or environmental,2774371,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165675,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,30WWB,SRP062889,,,
SRR2467326,AMPLICON,370,5702537,PRJNA293971,SAMN04012666,Metagenome or environmental,2638247,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165676,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,30BKB,SRP062889,,,
SRR2467327,AMPLICON,370,5537483,PRJNA293971,SAMN04012668,Metagenome or environmental,2483097,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165678,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,32WWB,SRP062889,,,
SRR2467328,AMPLICON,371,5126082,PRJNA293971,SAMN04012667,Metagenome or environmental,2282956,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165677,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,32B,SRP062889,,,
SRR2467329,AMPLICON,371,5545617,PRJNA293971,SAMN04012677,Metagenome or environmental,2465233,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165685,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,32BKB,SRP062889,,,
SRR2467330,AMPLICON,371,6526682,PRJNA293971,SAMN04012678,Metagenome or environmental,2986913,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165686,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,33B,SRP062889,,,
SRR2467331,AMPLICON,372,5127796,PRJNA293971,SAMN04012679,Metagenome or environmental,2370083,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165687,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,33WWB,SRP062889,,,
SRR2467332,AMPLICON,371,5542749,PRJNA293971,SAMN04012680,Metagenome or environmental,2573301,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165688,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:08:00Z,1,33BKB,SRP062889,,,
