Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,Sample Name,sample_type,source_material_id,SRA Study,timepoint,treatment
SRR10022102,AMPLICON,602,44026668,PRJNA560950,SAMN12611829,Metagenome or environmental,25427407,UNIVERSITY OF ALBERTA,2017-11-28,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759342,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M38W3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M38W3,feces,M38W3,SRP219296,W3,Control
SRR10022103,AMPLICON,602,47721142,PRJNA560950,SAMN12611830,Metagenome or environmental,27512641,UNIVERSITY OF ALBERTA,2017-12-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759341,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M38W4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M38W4,feces,M38W4,SRP219296,W4,Control
SRR10022104,AMPLICON,602,53514188,PRJNA560950,SAMN12611831,Metagenome or environmental,30913068,UNIVERSITY OF ALBERTA,2018-01-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759340,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M39W0,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M39W0,feces,M39W0,SRP219296,BL,Maize
SRR10022105,AMPLICON,602,36893570,PRJNA560950,SAMN12611832,Metagenome or environmental,21594907,UNIVERSITY OF ALBERTA,2018-01-11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759339,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M39W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M39W1,feces,M39W1,SRP219296,W1,Maize
SRR10022106,AMPLICON,602,35191716,PRJNA560950,SAMN12611833,Metagenome or environmental,21067503,UNIVERSITY OF ALBERTA,2018-01-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759338,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M39W2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M39W2,feces,M39W2,SRP219296,W2,Maize
SRR10022107,AMPLICON,602,35403018,PRJNA560950,SAMN12611834,Metagenome or environmental,20575875,UNIVERSITY OF ALBERTA,2018-01-25,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759337,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M39W3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M39W3,feces,M39W3,SRP219296,W3,Maize
SRR10022108,AMPLICON,602,30912700,PRJNA560950,SAMN12611835,Metagenome or environmental,18534424,UNIVERSITY OF ALBERTA,2018-02-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759336,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M39W4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M39W4,feces,M39W4,SRP219296,W4,Maize
SRR10022109,AMPLICON,602,33525982,PRJNA560950,SAMN12611665,Metagenome or environmental,19666590,UNIVERSITY OF ALBERTA,2017-10-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759335,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F04W4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F04W4,feces,F04W4,SRP219296,W4,Potato
SRR10022110,AMPLICON,602,34152062,PRJNA560950,SAMN12611836,Metagenome or environmental,20000243,UNIVERSITY OF ALBERTA,2018-01-11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759334,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M40W0,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M40W0,feces,M40W0,SRP219296,BL,Potato
SRR10022111,AMPLICON,602,31995096,PRJNA560950,SAMN12611837,Metagenome or environmental,18967152,UNIVERSITY OF ALBERTA,2018-01-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759333,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M40W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M40W1,feces,M40W1,SRP219296,W1,Potato
SRR10022112,AMPLICON,602,27921964,PRJNA560950,SAMN12611838,Metagenome or environmental,16596816,UNIVERSITY OF ALBERTA,2008-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759332,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M40W2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M40W2,feces,M40W2,SRP219296,W2,Potato
SRR10022113,AMPLICON,602,22969912,PRJNA560950,SAMN12611839,Metagenome or environmental,13528255,UNIVERSITY OF ALBERTA,2018-01-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759331,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M40W3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M40W3,feces,M40W3,SRP219296,W3,Potato
SRR10022114,AMPLICON,602,20663048,PRJNA560950,SAMN12611840,Metagenome or environmental,12150354,UNIVERSITY OF ALBERTA,2018-02-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759330,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M40W4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M40W4,feces,M40W4,SRP219296,W4,Potato
SRR10022115,AMPLICON,602,28859278,PRJNA560950,SAMN12611841,Metagenome or environmental,17308428,UNIVERSITY OF ALBERTA,2018-01-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759329,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M41W0,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M41W0,feces,M41W0,SRP219296,BL,Tapioca
SRR10022116,AMPLICON,602,38750138,PRJNA560950,SAMN12611842,Metagenome or environmental,22834335,UNIVERSITY OF ALBERTA,2018-01-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759328,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M41W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M41W1,feces,M41W1,SRP219296,W1,Tapioca
SRR10022117,AMPLICON,602,35725088,PRJNA560950,SAMN12611843,Metagenome or environmental,21155568,UNIVERSITY OF ALBERTA,2018-01-25,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759327,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M41W2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M41W2,feces,M41W2,SRP219296,W2,Tapioca
SRR10022118,AMPLICON,602,30271570,PRJNA560950,SAMN12611844,Metagenome or environmental,18286217,UNIVERSITY OF ALBERTA,2018-02-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759326,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M41W3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M41W3,feces,M41W3,SRP219296,W3,Tapioca
SRR10022119,AMPLICON,602,7275170,PRJNA560950,SAMN12611845,Metagenome or environmental,4570460,UNIVERSITY OF ALBERTA,2018-02-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759325,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,M41W4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,M41W4,feces,M41W4,SRP219296,W4,Tapioca
SRR10022120,AMPLICON,602,41329106,PRJNA560950,SAMN12611648,Metagenome or environmental,24016908,UNIVERSITY OF ALBERTA,2017-10-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759324,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F01W2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F01W2,feces,F01W2,SRP219296,W2,Control
SRR10022121,AMPLICON,602,22795332,PRJNA560950,SAMN12611666,Metagenome or environmental,14273751,UNIVERSITY OF ALBERTA,2017-09-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759323,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F05W0,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:49:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F05W0,feces,F05W0,SRP219296,BL,Control
SRR10022122,AMPLICON,602,38278772,PRJNA560950,SAMN12611667,Metagenome or environmental,22735561,UNIVERSITY OF ALBERTA,2017-09-29,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759322,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F05W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F05W1,feces,F05W1,SRP219296,W1,Control
SRR10022123,AMPLICON,602,44460108,PRJNA560950,SAMN12611668,Metagenome or environmental,26592070,UNIVERSITY OF ALBERTA,2017-10-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759321,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F05W2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F05W2,feces,F05W2,SRP219296,W2,Control
SRR10022124,AMPLICON,602,51778020,PRJNA560950,SAMN12611669,Metagenome or environmental,30905725,UNIVERSITY OF ALBERTA,2017-10-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759320,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F05W3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F05W3,feces,F05W3,SRP219296,W3,Control
SRR10022125,AMPLICON,602,47193790,PRJNA560950,SAMN12611670,Metagenome or environmental,28055102,UNIVERSITY OF ALBERTA,2017-10-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759319,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F05W4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F05W4,feces,F05W4,SRP219296,W4,Control
SRR10022126,AMPLICON,602,57395884,PRJNA560950,SAMN12611671,Metagenome or environmental,34027602,UNIVERSITY OF ALBERTA,2017-09-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759318,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F06W0,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F06W0,feces,F06W0,SRP219296,BL,Control
SRR10022127,AMPLICON,602,50732948,PRJNA560950,SAMN12611672,Metagenome or environmental,29417959,UNIVERSITY OF ALBERTA,2017-09-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759317,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F06W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F06W1,feces,F06W1,SRP219296,W1,Control
SRR10022128,AMPLICON,602,51830394,PRJNA560950,SAMN12611673,Metagenome or environmental,29605709,UNIVERSITY OF ALBERTA,2017-10-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759316,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F06W2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F06W2,feces,F06W2,SRP219296,W2,Control
SRR10022129,AMPLICON,602,51142308,PRJNA560950,SAMN12611674,Metagenome or environmental,29631392,UNIVERSITY OF ALBERTA,2017-10-14,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759315,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F06W3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F06W3,feces,F06W3,SRP219296,W3,Control
SRR10022130,AMPLICON,602,43441524,PRJNA560950,SAMN12611677,Metagenome or environmental,25332356,UNIVERSITY OF ALBERTA,2017-10-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6759314,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,F08W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-02-19T00:00:00Z,2019-08-27T02:50:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,F08W1,feces,F08W1,SRP219296,W1,Maize
