Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,Sample Name,sample_title,seq_methods,SRA Study,create_date,version
SRR3053248,AMPLICON,501,13995767,PRJNA306884,SAMN04370095,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9336546,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U004_Sample3_BeforeRS,human,gut,fecal,SRX1501590,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U004_3_S49_L001_R1_001.fastq.U004_3,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U004_3,U004_3,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053249,AMPLICON,500,34035223,PRJNA306884,SAMN04370096,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",22830274,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U004_Sample4_BeforeRS,human,gut,fecal,SRX1501591,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U004_4_S142_L001_R1_001.fastq.U004_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U004_4,U004_4,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053250,AMPLICON,500,22482455,PRJNA306884,SAMN04370097,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14672529,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U004_Sample1_DuringRS,human,gut,fecal,SRX1501592,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U004_5_S188_L001_R1_001.fastq.U004_5,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U004_5,U004_5,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053251,AMPLICON,500,21087158,PRJNA306884,SAMN04370098,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13958767,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U004_Sample2_DuringRS,human,gut,fecal,SRX1501593,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U004_6_S46_L001_R1_001.fastq.U004_6,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U004_6,U004_6,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053252,AMPLICON,500,14962538,PRJNA306884,SAMN04370099,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9694473,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U004_Sample3_DuringRS,human,gut,fecal,SRX1501594,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U004_7_S58_L001_R1_001.fastq.U004_7,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U004_7,U004_7,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053253,AMPLICON,500,16593197,PRJNA306884,SAMN04370100,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10840034,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U004_Sample4_DuringRS,human,gut,fecal,SRX1501595,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U004_8_S59_L001_R1_001.fastq.U004_8,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U004_8,U004_8,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053254,AMPLICON,500,18832516,PRJNA306884,SAMN04370101,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12304207,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U005_Sample1_BeforeRS,human,gut,fecal,SRX1501596,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U005_1_S208_L001_R1_001.fastq.U005_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U005_1,U005_1,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053255,AMPLICON,500,14803714,PRJNA306884,SAMN04370102,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9825670,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U005_Sample2_BeforeRS,human,gut,fecal,SRX1501597,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U005_2_S220_L001_R1_001.fastq.U005_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U005_2,U005_2,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053256,AMPLICON,500,24314230,PRJNA306884,SAMN04370103,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16253221,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U005_Sample3_BeforeRS,human,gut,fecal,SRX1501598,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U005_3_S244_L001_R1_001.fastq.U005_3,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U005_3,U005_3,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053257,AMPLICON,501,25237361,PRJNA306884,SAMN04370104,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16837404,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U005_Sample4_BeforeRS,human,gut,fecal,SRX1501599,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U005_4_S268_L001_R1_001.fastq.U005_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U005_4,U005_4,MiSeqIllumina,SRP067761,2015-12-24T10:07:00Z,1
SRR3053258,AMPLICON,500,15878269,PRJNA306884,SAMN04370105,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10617939,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U005_Sample1_DuringRS,human,gut,fecal,SRX1501600,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U005_5_S280_L001_R1_001.fastq.U005_5,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U005_5,U005_5,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053259,AMPLICON,501,20686865,PRJNA306884,SAMN04370106,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13401158,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U005_Sample2_DuringRS,human,gut,fecal,SRX1501601,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U005_6_S197_L001_R1_001.fastq.U005_6,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U005_6,U005_6,MiSeqIllumina,SRP067761,2015-12-24T10:07:00Z,1
SRR3053260,AMPLICON,500,10862552,PRJNA306884,SAMN04370107,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7188898,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U005_Sample3_DuringRS,human,gut,fecal,SRX1501602,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U005_7_S94_L001_R1_001.fastq.U005_7,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U005_7,U005_7,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053261,AMPLICON,501,20456388,PRJNA306884,SAMN04370108,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13744970,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U005_Sample4_DuringRS,human,gut,fecal,SRX1501603,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U005_8_S82_L001_R1_001.fastq.U005_8,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U005_8,U005_8,MiSeqIllumina,SRP067761,2015-12-24T10:07:00Z,1
SRR3053262,AMPLICON,500,21616039,PRJNA306884,SAMN04370109,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14557982,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U006_Sample1_BeforeRS,human,gut,fecal,SRX1501604,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U006_1_S238_L001_R1_001.fastq.U006_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U006_1,U006_1,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053263,AMPLICON,500,29630687,PRJNA306884,SAMN04370110,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",19672985,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U006_Sample2_BeforeRS,human,gut,fecal,SRX1501605,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U006_2_S250_L001_R1_001.fastq.U006_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U006_2,U006_2,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053264,AMPLICON,500,23914858,PRJNA306884,SAMN04370111,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16178216,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U006_Sample3_BeforeRS,human,gut,fecal,SRX1501606,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U006_3_S239_L001_R1_001.fastq.U006_3,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U006_3,U006_3,MiSeqIllumina,SRP067761,2015-12-24T10:07:00Z,1
SRR3053265,AMPLICON,500,23063226,PRJNA306884,SAMN04370112,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15419548,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U006_Sample4_BeforeRS,human,gut,fecal,SRX1501607,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U006_4_S251_L001_R1_001.fastq.U006_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U006_4,U006_4,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053266,AMPLICON,500,23060311,PRJNA306884,SAMN04370113,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15639286,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U006_Sample1_DuringRS,human,gut,fecal,SRX1501608,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U006_5_S263_L001_R1_001.fastq.U006_5,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U006_5,U006_5,MiSeqIllumina,SRP067761,2015-12-24T10:07:00Z,1
SRR3053267,AMPLICON,500,12474143,PRJNA306884,SAMN04370114,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8394584,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U006_Sample2_DuringRS,human,gut,fecal,SRX1501609,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U006_6_S275_L001_R1_001.fastq.U006_6,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U006_6,U006_6,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053268,AMPLICON,500,26190426,PRJNA306884,SAMN04370115,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17357612,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U006_Sample3_DuringRS,human,gut,fecal,SRX1501610,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U006_7_S203_L001_R1_001.fastq.U006_7,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U006_7,U006_7,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053269,AMPLICON,500,22902157,PRJNA306884,SAMN04370116,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15253667,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U006_Sample4_DuringRS,human,gut,fecal,SRX1501611,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U006_8_S191_L001_R1_001.fastq.U006_8,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U006_8,U006_8,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053270,AMPLICON,500,13828571,PRJNA306884,SAMN04370117,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9027932,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U007_Sample1_BeforeRS,human,gut,fecal,SRX1501612,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U007_1_S201_L001_R1_001.fastq.U007_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U007_1,U007_1,MiSeqIllumina,SRP067761,2015-12-24T10:07:00Z,1
SRR3053271,AMPLICON,500,15542916,PRJNA306884,SAMN04370118,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10374529,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U007_Sample2_BeforeRS,human,gut,fecal,SRX1501613,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U007_2_S145_L001_R1_001.fastq.U007_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U007_2,U007_2,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053272,AMPLICON,500,8347710,PRJNA306884,SAMN04370119,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",5579505,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U007_Sample3_BeforeRS,human,gut,fecal,SRX1501614,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U007_3_S97_L001_R1_001.fastq.U007_3,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U007_3,U007_3,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053273,AMPLICON,500,7440576,PRJNA306884,SAMN04370120,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",4845318,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U007_Sample4_BeforeRS,human,gut,fecal,SRX1501615,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U007_4_S14_L001_R1_001.fastq.U007_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U007_4,U007_4,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053274,AMPLICON,500,11593894,PRJNA306884,SAMN04370121,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7628681,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U007_Sample1_DuringRS,human,gut,fecal,SRX1501616,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U007_5_S231_L001_R1_001.fastq.U007_5,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U007_5,U007_5,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053275,AMPLICON,500,22139698,PRJNA306884,SAMN04370122,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14563613,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U007_Sample2_DuringRS,human,gut,fecal,SRX1501617,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U007_6_S62_L001_R1_001.fastq.U007_6,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U007_6,U007_6,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
SRR3053276,AMPLICON,500,18588283,PRJNA306884,SAMN04370123,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12578846,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U007_Sample3_DuringRS,human,gut,fecal,SRX1501618,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U007_7_S74_L001_R1_001.fastq.U007_7,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U007_7,U007_7,MiSeqIllumina,SRP067761,2015-12-24T10:06:00Z,1
